Reach,Transect,Position,Height.m,Shade
3,6,Middle,0.29,0.19
3,6,Left,0.30,0.51
3,6,Right,0.34,0.39
3,6,Average,0.31,0.36
4,5,Middle,0.41,0.89
4,5,Left,0.39,0.91
4,5,Right,0.54,0.94
4,5,Average,0.45,0.91
